,0_kernel_size,0_n_epochs,0_n_batch_size,tp,tn,fp,fn,sens,spec,acc,mcc,auroc,prec
0,5,10,32,596,660,52,116,83.70786516853933,92.69662921348315,88.20224719101124,0.7671504358787344,94.82802834238102,91.9753086419753
1,6,10,32,586,649,63,126,82.30337078651685,91.15168539325843,86.72752808988764,0.7374430537793908,93.58745739174347,90.29275808936826
2,7,10,32,596,648,64,116,83.70786516853933,91.01123595505618,87.35955056179775,0.7491917481021805,94.13189622522408,90.30303030303031
3,8,10,32,592,674,38,120,83.14606741573034,94.66292134831461,88.90449438202246,0.7833020060650998,95.09551350839541,93.96825396825396
4,9,10,32,553,677,35,159,77.6685393258427,95.08426966292134,86.37640449438202,0.7388188340435563,95.0375189370029,94.04761904761905
5,10,10,32,637,624,88,75,89.46629213483146,87.64044943820225,88.55337078651685,0.7711959733062325,95.29336573664942,87.86206896551724
6,11,10,32,591,672,40,121,83.00561797752809,94.3820224719101,88.6938202247191,0.7789333984845659,95.32236302234567,93.6608557844691
7,12,10,32,631,635,77,81,88.62359550561798,89.18539325842697,88.90449438202246,0.7781021668398322,95.65474687539451,89.12429378531074
8,13,10,32,618,637,75,94,86.79775280898876,89.46629213483146,88.1320224719101,0.7629121365767878,94.78542008584775,89.17748917748918
9,14,10,32,584,652,60,128,82.02247191011236,91.57303370786516,86.79775280898876,0.7393346354239346,94.11315648276734,90.6832298136646
10,5,20,32,622,638,74,90,87.35955056179775,89.60674157303372,88.48314606741573,0.7698573297680225,94.59900896351469,89.36781609195403
11,6,20,32,617,648,64,95,86.65730337078652,91.01123595505618,88.83426966292134,0.7774226122926757,94.89263113874512,90.60205580029368
12,7,20,32,544,678,34,168,76.40449438202246,95.2247191011236,85.81460674157303,0.7293249574894728,94.04598930059335,94.11764705882352
13,8,20,32,654,622,90,58,91.85393258426966,87.35955056179775,89.60674157303372,0.7929360807048015,95.73522913773513,87.90322580645162
14,9,20,32,626,646,66,86,87.92134831460675,90.73033707865169,89.32584269662921,0.7868273350138041,95.2499684383285,90.46242774566474
15,10,20,32,654,624,88,58,91.85393258426966,87.64044943820225,89.74719101123596,0.7956504105743675,95.49644536674661,88.14016172506739
16,11,20,32,627,647,65,85,88.06179775280899,90.87078651685393,89.46629213483146,0.7896374326388533,95.49841797121576,90.60693641618496
